ITEM_VNUM~RANGE	ITEM_NAME(K)	ITEM_TYPE	SUB_TYPE	SIZE	ANTI_FLAG	FLAG	ITEM_WEAR	IMMUNE	GOLD	SHOP_BUY_PRICE	REFINE	REFINESET	MAGIC_PCT	LIMIT_TYPE0	LIMIT_VALUE0	LIMIT_TYPE1	LIMIT_VALUE1	ADDON_TYPE0	ADDON_VALUE0	ADDON_TYPE1	ADDON_VALUE1	ADDON_TYPE2	ADDON_VALUE2	VALUE0	VALUE1	VALUE2	VALUE3	VALUE4	VALUE5	Specular	SOCKET	ATTU_ADDON
1	Yang	ITEM_ELK	0	1	NONE	NONE	NONE	NONE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Versiune In limba Romana	ITEM_NONE	0	1	NONE	NONE	NONE	NONE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	Sabie+0	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	0	0	11	1	15	1	0	0	0	7	22	0	0	0	0	0	15	19	13	15	0	0	1	0
11	Sabie+1	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	50	25	12	2	15	1	0	0	0	7	22	0	0	0	0	0	15	19	13	15	7	0	1	0
12	Sabie+2	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	50	25	13	3	15	1	0	0	0	7	22	0	0	0	0	0	15	19	13	15	14	0	1	0
13	Sabie+3	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	50	37	14	4	15	1	0	0	0	7	22	0	0	0	0	0	15	19	13	15	21	0	1	0
14	Sabie+4	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	50	37	15	5	15	1	0	0	0	7	22	0	0	0	0	0	15	19	13	15	28	30	1	0
15	Sabie+5	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	50	50	16	6	15	1	0	0	0	7	22	0	0	0	0	0	15	19	13	15	35	40	1	0
16	Sabie+6	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	50	62	17	7	15	1	0	0	0	7	22	0	0	0	0	0	15	19	13	15	42	50	1	0
17	Sabie+7	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	50	87	18	8	15	1	0	0	0	7	22	0	0	0	0	0	15	19	13	15	49	65	1	0
18	Sabie+8	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	50	125	19	9	15	1	0	0	0	7	22	0	0	0	0	0	15	19	13	15	56	80	1	0
19	Sabie+9	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	50	187	0	0	15	1	0	0	0	7	22	0	0	0	0	0	15	19	13	15	63	100	1	0
20	Sabie lunga+0	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	200	100	21	1	15	1	5	0	0	7	27	0	0	0	0	0	13	15	15	19	0	0	1	0
21	Sabie lunga+1	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	200	125	22	2	15	1	5	0	0	7	27	0	0	0	0	0	13	15	15	19	7	0	1	0
22	Sabie lunga+2	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	200	125	23	3	15	1	5	0	0	7	27	0	0	0	0	0	13	15	15	19	14	0	1	0
