VNUM	LOCALE_NAME	RANK	TYPE	BATTLE_TYPE	LEVEL	SIZE	AI_FLAG	MOUNT_CAPACITY	RACE_FLAG	IMMUNE_FLAG	EMPIRE	FOLDER	ON_CLICK	ST	DX	HT	IQ	DAMAGE_MIN	DAMAGE_MAX	MAX_HP	REGEN_CYCLE	REGEN_PERCENT	GOLD_MIN	GOLD_MAX	EXP	DEF	ATTACK_SPEED	MOVE_SPEED	AGGRESSIVE_HP_PCT	AGGRESSIVE_SIGHT	ATTACK_RANGE	DROP_ITEM	RESURRECTION_VNUM	ENCHANT_CURSE	ENCHANT_SLOW	ENCHANT_POISON	ENCHANT_STUN	ENCHANT_CRITICAL	ENCHANT_PENETRATE	RESIST_SWORD	RESIST_TWOHAND	RESIST_DAGGER	RESIST_BELL	RESIST_FAN	RESIST_BOW	RESIST_FIRE	RESIST_ELECT	RESIST_MAGIC	RESIST_WIND	RESIST_POISON	DAM_MULTIPLY	SUMMON	DRAIN_SP	MOB_COLOR	POLYMORPH_ITEM	SKILL_LEVEL0	SKILL_VNUM0	SKILL_LEVEL1	SKILL_VNUM1	SKILL_LEVEL2	SKILL_VNUM2	SKILL_LEVEL3	SKILL_VNUM3	SKILL_LEVEL4	SKILL_VNUM4	SP_BERSERK	SP_STONESKIN	SP_GODSPEED	SP_DEATHBLOW	SP_REVIVE
101	Câine sãlbatic	0	0	0	1			0	1		0	stray_dog	0	3	6	5	2	20	24	126	6	7	9	13	15	4	100	100	0	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	Lup	0	0	0	3			0	1		0	wolf	0	4	9	7	2	23	28	162	6	7	11	17	39	6	100	100	25	2000	175	30028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	Lup Alpha	0	0	0	4			0	1		0	wolf	0	8	5	10	3	25	30	182	6	7	12	19	51	7	100	130	25	2000	175	30069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	Lup Albastru	0	0	0	6			0	1		0	wolf	0	9	12	6	3	25	38	225	6	7	15	22	75	9	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	Lup Alpha Albastru	0	0	0	9			0	1		0	wolf	0	14	8	16	4	33	41	297	6	7	18	28	111	13	80	100	25	2000	175	30027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	Lup Gri	0	0	0	13			0	1		0	wolf	0	21	21	10	5	40	49	412	6	7	23	35	159	17	100	100	25	2000	175	30070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	Lup Alpha Gri	1	0	0	16			0	1		0	wolf	0	23	24	12	6	45	55	614	6	12	40	60	234	20	80	130	25	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	Mistreþ Sãlbatic	0	0	0	7			0	1		0	wild_boar	0	14	7	10	3	30	37	248	6	7	16	24	87	11	80	100	30	2000	175	30004	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	Mistreþ Sãlbatic Roºu	1	0	0	10			0	1		0	wild_boar	0	22	9	13	4	35	43	389	3	7	28	42	148	14	80	100	30	2000	175	30003	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	Urs	0	0	4	12			0	1		0	bear	0	20	10	20	5	39	47	381	6	7	22	33	147	16	100	70	40	2000	175	30010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
