54r	prob	cost	vnum0	count0	vnum1	count1	vnum2	count2	vnum3	count3	vnum4	count4
1	95	600	0	0	0	0	0	0	0	0	0	0
2	95	1200	0	0	0	0	0	0	0	0	0	0
3	95	2500	0	0	0	0	0	0	0	0	0	0
4	95	5000	0	0	0	0	0	0	0	0	0	0
5	86	10000	0	0	0	0	0	0	0	0	0	0
6	68	20000	0	0	0	0	0	0	0	0	0	0
7	59	30000	30053	1	0	0	0	0	0	0	0	0
8	50	45000	30073	2	0	0	0	0	0	0	0	0
9	41	75000	30033	2	0	0	0	0	0	0	0	0
10	95	1000	0	0	0	0	0	0	0	0	0	0
11	95	2000	0	0	0	0	0	0	0	0	0	0
12	95	4000	0	0	0	0	0	0	0	0	0	0
13	86	8000	0	0	0	0	0	0	0	0	0	0
14	77	13000	30030	2	0	0	0	0	0	0	0	0
15	68	20000	30075	2	0	0	0	0	0	0	0	0
16	59	40000	30056	2	27799	1	0	0	0	0	0	0
17	50	70000	30022	2	27987	1	0	0	0	0	0	0
18	41	120000	30067	2	27987	1	0	0	0	0	0	0
19	95	1200	0	0	0	0	0	0	0	0	0	0
20	86	2500	0	0	0	0	0	0	0	0	0	0
21	77	5000	0	0	0	0	0	0	0	0	0	0
22	68	10000	0	0	0	0	0	0	0	0	0	0
23	59	20000	30079	1	0	0	0	0	0	0	0	0
24	50	30000	30015	1	0	0	0	0	0	0	0	0
25	41	45000	30016	2	27992	1	0	0	0	0	0	0
26	32	90000	30089	2	27993	1	0	0	0	0	0	0
27	23	150000	30091	2	27994	1	0	0	0	0	0	0
28	95	600	0	0	0	0	0	0	0	0	0	0
29	95	1200	0	0	0	0	0	0	0	0	0	0
30	95	2500	0	0	0	0	0	0	0	0	0	0
31	95	5000	0	0	0	0	0	0	0	0	0	0
32	86	10000	0	0	0	0	0	0	0	0	0	0
33	68	20000	0	0	0	0	0	0	0	0	0	0
34	59	30000	30034	2	0	0	0	0	0	0	0	0
35	50	45000	30011	2	0	0	0	0	0	0	0	0
36	41	75000	30035	2	0	0	0	0	0	0	0	0
37	95	1000	0	0	0	0	0	0	0	0	0	0
38	95	2000	0	0	0	0	0	0	0	0	0	0
39	95	4000	0	0	0	0	0	0	0	0	0	0
40	86	8000	0	0	0	0	0	0	0	0	0	0
41	77	13000	30052	2	0	0	0	0	0	0	0	0
42	68	20000	30046	2	0	0	0	0	0	0	0	0
43	59	40000	30045	2	27799	1	0	0	0	0	0	0
44	50	70000	30025	2	27987	1	0	0	0	0	0	0
45	41	120000	30058	2	27987	1	0	0	0	0	0	0
46	100	100000	0	0	0	0	0	0	0	0	0	0
47	90	200000	0	0	0	0	0	0	0	0	0	0
48	80	300000	0	0	0	0	0	0	0	0	0	0
49	75	500000	0	0	0	0	0	0	0	0	0	0
50	60	750000	30083	6	0	0	0	0	0	0	0	0
51	50	1000000	30060	6	0	0	0	0	0	0	0	0
52	40	1500000	30061	6	27992	1	0	0	0	0	0	0
53	35	3000000	30088	6	27993	1	0	0	0	0	0	0
54	30	5000000	30019	6	27994	1	0	0	0	0	0	0
55	95	600	0	0	0	0	0	0	0	0	0	0
56	95	1200	0	0	0	0	0	0	0	0	0	0
57	95	2500	0	0	0	0	0	0	0	0	0	0
58	95	5000	0	0	0	0	0	0	0	0	0	0
59	86	10000	0	0	0	0	0	0	0	0	0	0
60	68	20000	0	0	0	0	0	0	0	0	0	0
61	59	30000	30070	2	0	0	0	0	0	0	0	0
62	50	45000	30072	2	0	0	0	0	0	0	0	0
63	41	75000	30017	2	0	0	0	0	0	0	0	0
64	95	1000	0	0	0	0	0	0	0	0	0	0
65	95	2000	0	0	0	0	0	0	0	0	0	0
66	95	4000	0	0	0	0	0	0	0	0	0	0
67	86	8000	0	0	0	0	0	0	0	0	0	0
68	77	13000	30041	1	0	0	0	0	0	0	0	0
69	68	20000	30008	2	0	0	0	0	0	0	0	0
70	59	40000	30057	1	27799	1	0	0	0	0	0	0
71	50	70000	30081	1	27987	1	0	0	0	0	0	0
72	41	120000	30077	2	27987	1	0	0	0	0	0	0
73	95	1200	0	0	0	0	0	0	0	0	0	0
74	86	2500	0	0	0	0	0	0	0	0	0	0
75	77	5000	0	0	0	0	0	0	0	0	0	0
76	68	10000	0	0	0	0	0	0	0	0	0	0
77	59	20000	30009	2	0	0	0	0	0	0	0	0
78	50	30000	30039	2	0	0	0	0	0	0	0	0
79	41	45000	30040	2	27992	1	0	0	0	0	0	0
80	32	90000	30048	2	27993	1	0	0	0	0	0	0
81	23	150000	30090	2	27994	1	0	0	0	0	0	0
82	95	600	0	0	0	0	0	0	0	0	0	0
83	95	1200	0	0	0	0	0	0	0	0	0	0
84	95	2500	0	0	0	0	0	0	0	0	0	0
85	95	5000	0	0	0	0	0	0	0	0	0	0
86	86	10000	0	0	0	0	0	0	0	0	0	0
87	68	20000	0	0	0	0	0	0	0	0	0	0
88	59	30000	30031	1	0	0	0	0	0	0	0	0
89	50	45000	30032	2	0	0	0	0	0	0	0	0
90	41	75000	30033	2	0	0	0	0	0	0	0	0
91	95	1000	0	0	0	0	0	0	0	0	0	0
92	95	2000	0	0	0	0	0	0	0	0	0	0
